2026-09-08T11:59:35.654208+00:00 | NASA FIRMS (VIIRS_SNPP_NRT) | HATA: FIRMS_MAP_KEY ortam degiskeni tanimli degil.
2026-09-08T11:59:56.081237+00:00 | Ulusal Hava Kaliteci Izleme Agi (UHKIA) | HATA: Endpoint henuz dogrulanmadi / degisti: HTTPSConnectionPool(host='www.havaizleme.gov.tr', port=443): Max retries exceeded with url: /Services/HaIstasyon (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.havaizleme.gov.tr', port=443) at 0x7f6e22db1310>, 'Connection to www.havaizleme.gov.tr timed out. (connect timeout=20)'))
2026-09-08T12:00:11.230855+00:00 | MGM MeteoUyari | HATA: Endpoint henuz dogrulanmadi / degisti: HTTPSConnectionPool(host='www.mgm.gov.tr', port=443): Max retries exceeded with url: /FTPDATA/uyari/uyari.json (Caused by NameResolutionError("HTTPSConnection(host='www.mgm.gov.tr', port=443): Failed to resolve 'www.mgm.gov.tr' ([Errno -3] Temporary failure in name resolution)"))
2026-09-08T12:00:31.838072+00:00 | ISKI Baraj Doluluk Oranlari | HATA: Endpoint/parse henuz tamamlanmadi: HTTPSConnectionPool(host='www.iski.istanbul', port=443): Max retries exceeded with url: /web/tr-TR/baraj-doluluk-oranlari (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.iski.istanbul', port=443) at 0x7f81a6015710>, 'Connection to www.iski.istanbul timed out. (connect timeout=20)'))
2026-09-08T12:02:55.056548+00:00 | NASA FIRMS (VIIRS_SNPP_NRT) | HATA: FIRMS_MAP_KEY ortam degiskeni tanimli degil.
2026-09-08T12:03:15.491719+00:00 | Ulusal Hava Kaliteci Izleme Agi (UHKIA) | HATA: Endpoint henuz dogrulanmadi / degisti: HTTPSConnectionPool(host='www.havaizleme.gov.tr', port=443): Max retries exceeded with url: /Services/HaIstasyon (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.havaizleme.gov.tr', port=443) at 0x7fc361947d90>, 'Connection to www.havaizleme.gov.tr timed out. (connect timeout=20)'))
2026-09-08T12:03:25.648119+00:00 | MGM MeteoUyari | HATA: Endpoint henuz dogrulanmadi / degisti: HTTPSConnectionPool(host='www.mgm.gov.tr', port=443): Max retries exceeded with url: /FTPDATA/uyari/uyari.json (Caused by NameResolutionError("HTTPSConnection(host='www.mgm.gov.tr', port=443): Failed to resolve 'www.mgm.gov.tr' ([Errno -3] Temporary failure in name resolution)"))
2026-09-08T12:03:46.109346+00:00 | ISKI Baraj Doluluk Oranlari | HATA: Endpoint/parse henuz tamamlanmadi: HTTPSConnectionPool(host='www.iski.istanbul', port=443): Max retries exceeded with url: /web/tr-TR/baraj-doluluk-oranlari (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.iski.istanbul', port=443) at 0x7f8ece574850>, 'Connection to www.iski.istanbul timed out. (connect timeout=20)'))
2026-09-08T12:29:37.837742+00:00 | NASA FIRMS (VIIRS_SNPP_NRT) | HATA: FIRMS_MAP_KEY ortam degiskeni tanimli degil.
2026-09-08T12:29:58.268297+00:00 | Ulusal Hava Kaliteci Izleme Agi (UHKIA) | HATA: Endpoint henuz dogrulanmadi / degisti: HTTPSConnectionPool(host='www.havaizleme.gov.tr', port=443): Max retries exceeded with url: /Services/HaIstasyon (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.havaizleme.gov.tr', port=443) at 0x7f3ae4d89d10>, 'Connection to www.havaizleme.gov.tr timed out. (connect timeout=20)'))
2026-09-08T12:30:01.392976+00:00 | MGM MeteoUyari | HATA: Endpoint henuz dogrulanmadi / degisti: Expecting value: line 1 column 1 (char 0)
2026-09-08T12:30:21.992426+00:00 | ISKI Baraj Doluluk Oranlari | HATA: Endpoint/parse henuz tamamlanmadi: HTTPSConnectionPool(host='www.iski.istanbul', port=443): Max retries exceeded with url: /web/tr-TR/baraj-doluluk-oranlari (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.iski.istanbul', port=443) at 0x7f46e0ff9510>, 'Connection to www.iski.istanbul timed out. (connect timeout=20)'))
2026-09-08T12:35:43.170511+00:00 | NASA FIRMS (VIIRS_SNPP_NRT) | HATA: FIRMS_MAP_KEY ortam degiskeni tanimli degil.
2026-09-08T12:36:03.520530+00:00 | Ulusal Hava Kaliteci Izleme Agi (UHKIA) | HATA: Endpoint henuz dogrulanmadi / degisti: HTTPSConnectionPool(host='www.havaizleme.gov.tr', port=443): Max retries exceeded with url: /Services/HaIstasyon (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.havaizleme.gov.tr', port=443) at 0x7fa96c5b1490>, 'Connection to www.havaizleme.gov.tr timed out. (connect timeout=20)'))
2026-09-08T12:36:07.454798+00:00 | MGM MeteoUyari | HATA: Endpoint henuz dogrulanmadi / degisti: Expecting value: line 1 column 1 (char 0)
